,knee,hip,shoulder,elbow,nose_from_floor,Y
0,169.13849476870956,174.59424220582122,77.89079817949073,76.60936466494317,0.9975365982704508,0.0
1,166.35228525959946,171.69109705437504,80.43236808672575,79.22209829487524,0.9966014915460375,0.0
2,168.68728643332582,162.94543059608242,87.63471881667134,81.99318701491654,0.99456783932607,0.0
3,166.9382427175131,164.52235203359112,91.69491242192709,98.62060743201664,0.9953260176094298,0.0
4,172.16727674577874,161.95060473388838,86.95412774257369,86.53980666153016,0.9978320805973744,0.0
5,173.1770953439039,165.1321760843723,85.4217988150528,86.83485386934169,0.9969801256251514,0.0
6,167.80512031079786,173.49085683244138,73.3394249312332,83.33440420038195,0.9987231822221356,0.0
7,165.0814430539444,170.6507224879681,79.42675723050914,92.0925310792723,0.9997261205277999,0.0
8,174.4507120403096,177.37509667971796,63.03136345306662,72.61740650861846,0.999579587061045,0.0
9,178.0207724235521,178.76728773944535,62.813108666648745,68.83089533778256,0.9995714691271765,0.0
10,169.66781371062243,161.4458756525863,83.62807810573253,79.06341848332364,0.9983526548682373,0.0
11,171.24547203219788,165.92031260992417,79.18169632311037,80.6667746590476,0.9986840557628521,0.0
12,168.63424475560927,169.75223357724974,84.31215352009455,83.92720814292639,0.9920771762579021,0.0
13,170.26257601464147,174.472370379146,81.7387964582903,85.31472895979276,0.9891424078121579,0.0
14,176.23038685039478,171.69196097773428,79.77152516449866,80.06370830696065,0.9935801348787584,0.0
15,176.95798703532768,172.36392501719263,82.6923538420539,55.15472474538167,0.9944262888508587,0.0
16,171.51298529749988,174.14053738483943,75.76249684164057,78.71863594036327,0.9961005485858161,0.0
17,169.85439068800014,171.74178231009154,77.96462489983031,78.26470653656514,0.9961206265368603,0.0
18,172.302185109385,177.7727451725031,70.2623002437438,71.1465103418061,0.9997756145676717,0.0
19,174.18338669555288,175.5698254393862,69.84209878105919,68.7581302117149,0.9995571401630123,0.0
20,169.06211217009258,160.62506064218934,77.83071274711776,78.52948919091341,0.9990330295762477,0.0
21,169.57778799535117,161.13414548831253,82.92065232046298,71.43175016182039,0.99899491486095,0.0
22,165.00248348726495,167.28476995353986,82.0209260126983,162.54980644040347,0.9928159000391684,0.0
23,162.13605690600463,164.70309943635107,76.35507032762172,100.13929105632388,0.9932108847664051,0.0
24,174.67642991255082,176.10091599276768,62.13258137356053,67.78440880096144,0.9998492852936909,0.0
25,173.5268702497843,175.71998394339607,59.066923908148304,64.71570949240535,0.9998503012963835,0.0
26,173.47178273528408,160.2121850176834,72.58840950766489,71.08481922437936,0.9977719502380221,0.0
27,170.8638530445989,157.46436305005932,71.54577349417247,70.35337769745416,0.9979152887818585,0.0
28,169.4954799670445,172.69508140371644,65.07001987546244,80.43797219878297,0.9990283572206985,0.0
29,168.32080091057838,167.06831069656593,64.9099579663925,70.03476625694265,0.9998585770451571,0.0
30,176.5647442921187,138.79445192814137,115.54863797279693,96.9525384780398,0.999126444253463,1.0
31,177.750073875373,139.8315020621989,109.54879837215336,99.22755948467523,0.9997908014876837,1.0
32,172.31359823147181,156.463526779046,92.37189829059007,92.07366618880346,0.9970907697476006,1.0
33,175.67784792820447,158.39871026872643,97.3049187846226,81.6767376488589,0.9962743996377825,1.0
34,171.13845819373924,157.43645382263497,93.61982989409582,99.4433132424746,0.9986086342807102,1.0
35,171.57316167022375,158.80170715039463,94.62264764381428,96.78939072550666,0.9982596504164353,1.0
36,175.29998866278635,110.62213003057772,145.18215374197132,106.2086677046967,0.9999999932985342,1.0
37,170.3322427541824,111.39350231184468,142.01396766307997,111.18644969973323,0.9995746595532049,1.0
38,171.95428514826227,108.26025769539143,120.58605437359255,87.85313947913689,0.9999947532178401,1.0
39,172.59502183496681,108.39253891659419,117.66054839640958,85.83075638511778,0.9999991690223575,1.0
40,172.8751251268082,131.19662254656419,124.86953850605906,109.2437172560305,0.9997240110730108,1.0
41,170.7926948166745,133.43027105836336,121.16223865874284,105.03771304016172,0.9999976333832878,1.0
42,160.4371285108984,111.00061697772146,129.43575080431157,103.01407284029547,0.9999949323770059,1.0
43,162.9876468412548,115.29829838415343,127.66354965470343,100.09992114167635,0.9999995251552644,1.0
44,176.5760175812891,121.78670592416248,126.06153388246976,90.95439782602176,0.9958810256956616,1.0
45,176.17858732878682,117.97296839341732,131.3947113825225,95.61792244375533,0.9938539156425329,1.0
46,169.28754326380414,138.4272540090882,103.69695101149284,104.36828732697697,0.9979480397383609,1.0
47,177.49754669420895,135.514033939941,113.12307521560697,89.86435718712494,0.9970709219246607,1.0
48,159.52760900792242,130.70007244731994,112.77178685038861,97.28942126491685,0.9997686497248656,1.0
49,164.2156670090115,135.89018956555887,108.6173294729257,91.50580443531958,0.9998736744967389,1.0
50,176.20932694786063,136.52740105607762,115.0805573150455,94.50112577535634,0.9996309384551482,1.0
51,175.036442040491,136.79112697169631,115.651567161239,96.03028664631074,0.9996949120704404,1.0
52,166.33184131994793,148.15120708175874,108.78397022755865,95.33925694913457,0.9995103971126675,1.0
53,165.70286343027948,149.7158733745922,102.4512308327929,92.55027174204704,0.9988142468145641,1.0
54,148.50477492346124,151.06210485773428,100.8098704148108,99.43599482109053,0.9990723381411013,1.0
55,145.4627159200938,150.0470562178309,98.28820572802184,97.7657840718258,0.999041367122717,1.0
56,175.527067571331,150.45504382139842,107.13529150682598,97.94576161345866,0.9979640985254549,1.0
57,174.2849878240696,148.9633731153693,107.28078568635227,97.8782045937827,0.9972295031903162,1.0
58,149.89496564728665,126.47446694470614,115.80896569275765,93.69055870284348,0.9997799364717089,1.0
59,148.14922362940388,129.06445677479968,109.12750513828371,93.68801353849258,0.9999993684360249,1.0
60,13.300143300292692,11.063036291819376,23.506264012477917,160.19363615175592,0.1984181841688929,2.0
61,16.392546399594316,4.862280988820801,26.776044609952265,152.02905327884645,0.3578908613433464,2.0
62,146.15866075324843,166.74586319687737,23.36477735237904,53.63490418310984,0.19513641456162104,2.0
63,147.6371079579501,165.38644046513446,16.944429542229646,55.55190095586117,0.20864977554730366,2.0
64,91.50039220709334,128.5293324036495,8.020847833407673,165.72679644731213,0.2464220267839194,2.0
65,87.77882334630371,126.36231955157851,16.63816051245186,159.45557500187454,0.24428737289447833,2.0
66,65.81865435939481,30.88153363696003,23.77522565811833,140.98389603527593,0.12625647527087536,2.0
67,78.97848444336641,42.97326314940315,27.31612809931934,144.64730121641867,0.1404319413418376,2.0
68,177.05486359547893,171.51276245540066,31.132994656402822,121.062261398673,0.0051947523052383975,2.0
69,179.27877396129776,172.26703811236405,31.270562138614878,120.46370751823974,0.00951241797308769,2.0
70,82.77259871640143,68.16158795459266,55.17112841028646,132.7498854036229,0.29639279316933526,2.0
71,70.68897813140572,52.26524264939705,53.410797952499834,130.3848686500594,0.29800873373807446,2.0
72,88.49251137831321,138.57349844242523,3.4355350383314756,167.03721614939954,0.30205595721939343,2.0
73,95.71222193649669,150.60522281565406,5.588052356666217,169.00237099489604,0.32162428594903025,2.0
74,39.942581205086015,29.023651702613865,37.053428733564736,84.64151880064978,0.3934534564234085,2.0
75,35.12976338930927,32.77799651634017,37.67818274508086,89.40212155570265,0.4115061296475107,2.0
76,177.79454208297352,176.54223033319926,22.332943341732914,96.7214501152788,0.027399576975986637,2.0
77,176.9506984764448,175.52060283235642,23.332715839360255,82.49517648327686,0.010071395038556662,2.0
78,132.10379956300855,130.4671346890985,52.942211939066354,161.36570844189765,0.5152247672400376,2.0
79,102.88853461134238,108.94658551305591,49.23031286503257,156.12892260762868,0.5634659980205857,2.0
80,96.27492600304967,114.90822006720725,69.64733939347907,148.81168274841605,0.2276172632549908,2.0
81,92.89332422847826,112.00543607759008,73.36016329472477,156.94911729330585,0.19347936164352494,2.0
82,169.57826096186733,152.4518811696943,17.896490595563247,58.51044183780494,0.01999278943434662,2.0
83,168.4699757856281,153.8967127285908,17.98416639373262,55.120525391564314,0.02419812354574661,2.0
84,171.0802934445841,159.0273342102915,20.19840209321063,177.9793893402304,0.14325874919016174,2.0
85,171.22770682441498,157.6442943652142,22.88700964336269,170.5014874057887,0.14341915949099446,2.0
86,143.9278213446106,163.8564757445414,45.105201058552,102.54066905570916,0.20916705346513517,2.0
87,83.00525996243067,87.19632292303156,30.54721044303644,98.1754894971784,0.18756626841317264,2.0
88,77.80324722412122,80.80817541978546,30.377045598002283,101.59378243126494,0.18203133097487914,2.0
89,103.78810210129689,72.20895688340775,50.93869520298499,157.2191928329035,0.40846457895259614,2.0
90,28.097736698632115,66.9732108844977,53.93379886276705,150.24464250250725,0.31802946894792133,2.0
